app_name,n_reviews,specs
Edge Of Survival,0,Single-player
Lucky Island,0,Single-player
Grapples Galore,7,Online PvP Steam Achievements In-App Purchases
What The Duck,3,Single-player Steam Achievements Full controller support Steam Cloud
Core-Blast White Crystal,0,Single-player Downloadable Content Steam Achievements Steam Cloud Steam Leaderboards
Isonzo - Glacial Units Pack,0,Single-player Online PvP Downloadable Content Steam Achievements Full controller support Steam Cloud
Isonzo - Glacial Units Pack,0,Single-player Online PvP Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud
Aliya's Ascent,1,Single-player
Atlantis Academy,0,Single-player Steam Achievements Steam Cloud
Grapples Galore - Cosmetics Pack 1,0,Online PvP Downloadable Content Steam Achievements In-App Purchases
Berzerk: Recharged,0,Single-player Shared/Split Screen Co-op Steam Achievements Full controller support Steam Trading Cards Steam Cloud Remote Play Together
Coast Defender,0,Single-player Steam Achievements In-App Purchases
Colony Ship: A Post-Earth Role Playing Game,946,Single-player
Meadow: Blue Poison Dart Frog and Anteater Skin Pack,0,MMO Online Co-op Downloadable Content Steam Achievements Steam Trading Cards Steam Cloud Steam Leaderboards
山水画乡/Shanshui Haven,1,Single-player
emoji sport,0,Single-player
Eastern Europe Train Sim 2,0,Single-player
TT Isle Of Man 3 - 2023 TT Races Roster,0,Single-player Online PvP Downloadable Content Steam Achievements Steam Trading Cards Partial Controller Support Steam Cloud
Voiceover,0,Single-player
Space Trash Scavenger,3,Single-player Partial Controller Support Stats
Kungfu,1,Single-player Steam Achievements Stats
Paramorfosi,0,Single-player
CyberModu,0,Single-player Downloadable Content
Block Games:Avoid,0,Single-player
Neon Little Soul,0,Single-player Full controller support
Gem Galaxy,0,Single-player Shared/Split Screen PvP Steam Achievements Steam Leaderboards Remote Play Together
MangaKa - Pen Tool,0,Downloadable Content
WhaleGameOnline,0,Single-player Online PvP
VoiceMelody - Kawaii Voice Changer,0,
Aeterna Noctis: Virtuoso,0,Single-player Downloadable Content Steam Achievements Full controller support Steam Cloud
"Aeterna Noctis ""Virtuoso"": Soundtrack",0,
Don't Die In The West 🤠,1,Single-player Online Co-op
Of Blades & Tails,113,Single-player Steam Achievements Steam Trading Cards Steam Cloud Steam Leaderboards
神様ノ筐庭,0,Single-player Steam Cloud
JAILBREAKER,0,Single-player Steam Achievements Full controller support
,0,
Jewel Match Aquascapes 2 Collector's Edition,0,Single-player Steam Achievements
Idle Tick,0,Single-player Steam Achievements Steam Cloud Stats
Superfetch Dog,0,Single-player Steam Achievements Steam Cloud
Flying 'N Frying Popcorn Dude,0,Single-player
Blamcon Shooting Gallery,0,Single-player
Ikonei Island: An Earthlock Adventure,106,Single-player Online Co-op Steam Achievements Full controller support Steam Cloud
Polylithic,0,Single-player Steam Achievements Full controller support Steam Cloud
Spells & Secrets,0,Single-player Shared/Split Screen Co-op Steam Achievements Full controller support Steam Cloud Remote Play Together
Crusader Kings III: Legacy of Persia,0,Single-player Online PvP Downloadable Content Steam Achievements Steam Trading Cards Steam Workshop Steam Cloud Remote Play on Tablet
Ziggy's Cosmic Adventures,0,Single-player Steam Achievements Tracked Controller Support VR Only
My Friend Aki,0,Single-player
Spells & Secrets - Soundtrack,0,
Last Memories,0,Single-player Steam Achievements
